especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
AL30C,2021-12-28,31.5,32.0,31.5,32.0,6863,1640660400.0
AL30C,2021-12-29,31.5,32.0,31.5,32.0,0,1640746800.0
AL30C,2021-12-30,31.5,32.0,31.5,32.0,0,1640833200.0
AL30C,2022-01-03,31.5,31.5,31.5,31.5,12088,1641178800.0
AL30C,2022-01-04,31.5,31.5,31.5,31.5,17209,1641265200.0
AL30C,2022-01-05,31.5,31.5,31.5,31.5,0,1641351600.0
AL30C,2022-01-06,31.5,31.5,31.5,31.5,0,1641438000.0
AL30C,2022-01-07,28.75,28.75,28.75,28.75,7053,1641524400.0
AL30C,2022-01-10,29.0,29.0,29.0,29.0,5000,1641783600.0
AL30C,2022-01-11,29.0,29.4,29.0,29.0,36482,1641870000.0
AL30C,2022-01-12,29.0,29.2,28.8,28.8,63875,1641956400.0
AL30C,2022-01-13,29.0,29.2,28.8,28.8,0,1642042800.0
AL30C,2022-01-14,28.8,28.8,28.8,28.8,170,1642129200.0
AL30C,2022-01-17,28.8,28.8,28.8,28.8,5000,1642388400.0
AL30C,2022-01-18,28.8,28.8,28.8,28.8,0,1642474800.0
AL30C,2022-01-19,28.1,28.1,28.0,28.0,76401,1642561200.0
AL30C,2022-01-20,28.1,28.1,28.0,28.0,0,1642647600.0
AL30C,2022-01-21,28.0,28.0,28.0,28.0,167,1642734000.0
AL30C,2022-01-24,28.0,28.0,28.0,28.0,0,1642993200.0
AL30C,2022-01-25,27.9,27.9,27.9,27.9,53,1643079600.0
AL30C,2022-01-26,27.75,27.75,27.75,27.75,54635,1643166000.0
AL30C,2022-01-27,27.75,27.75,27.75,27.75,1460,1643252400.0
AL30C,2022-01-28,27.75,27.75,27.75,27.75,0,1643338800.0
AL30C,2022-01-31,27.75,27.75,27.75,27.75,0,1643598000.0
AL30C,2022-02-01,27.75,27.75,27.75,27.75,0,1643684400.0
AL30C,2022-02-02,27.75,27.75,27.75,27.75,0,1643770800.0
AL30C,2022-02-03,27.75,27.75,27.75,27.75,0,1643857200.0
AL30C,2022-02-04,30.0,30.0,30.0,30.0,17,1643943600.0
AL30C,2022-02-07,30.0,30.0,30.0,30.0,0,1644202800.0
AL30C,2022-02-08,29.4,29.4,29.4,29.4,983,1644289200.0
AL30C,2022-02-09,29.4,29.4,29.4,29.4,0,1644375600.0
AL30C,2022-02-10,28.75,28.75,28.75,28.75,13000,1644462000.0
AL30C,2022-02-11,28.75,28.75,28.75,28.75,13000,1644548400.0
AL30C,2022-02-14,28.4,28.5,28.4,28.5,15645,1644807600.0
AL30C,2022-02-24,29.25,29.25,29.25,29.25,0,1645671600.0
AL30C,2022-02-25,29.0,29.0,28.55,28.55,7543,1645758000.0
AL30C,2022-03-03,28.75,28.75,28.75,28.75,43000,1646276400.0
AL30C,2022-03-04,27.95,27.95,27.95,27.95,5200,1646362800.0
AL30C,2022-03-08,27.95,27.95,27.95,27.95,0,1646708400.0
AL30C,2022-03-09,27.95,27.95,27.95,27.95,1635,1646794800.0
AL30C,2022-03-15,29.15,29.15,29.15,29.15,0,1647313200.0
AL30C,2022-03-16,29.15,29.15,29.15,29.15,0,1647399600.0
AL30C,2022-03-17,29.15,29.15,29.15,29.15,0,1647486000.0
AL30C,2022-03-21,29.15,29.15,29.15,29.15,0,1647831600.0
AL30C,2022-03-23,28.0,28.75,28.0,28.75,6,1648004400.0
AL30C,2022-03-25,28.0,28.0,28.0,28.0,4237,1648177200.0
AL30C,2022-03-28,29.0,293.0,29.0,29.3,18701,1648436400.0
AL30C,2022-03-29,29.75,29.75,29.75,29.75,250,1648522800.0
AL30C,2022-03-30,29.75,29.75,29.75,29.75,0,1648609200.0
